date,latitude,longitude,elevation,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration
2020-04-22 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,12.860749,19.317001,6.9170003,0.5,44107.695,6.6185193,21.96,18.94,3.4233599
2020-04-23 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.777417,19.417,8.867,0.4,,17.238699,41.399998,19.31,3.465245
2020-04-24 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,,20.767,,0.2,,12.682018,31.319998,22.09,3.9514155
2020-04-25 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.12325,20.167,8.566999,1.6,,,,21.06,3.721932
2020-04-26 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.235749,21.367,6.567,0.0,44163.348,17.673029,43.56,26.56,4.748721
2020-04-27 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.150334,,8.867,0.5,44177.12,21.611996,50.039997,19.64,3.589835
2020-04-28 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.32325,20.267,9.016999,0.0,44190.82,,42.12,21.29,3.8829553
2020-04-29 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.950333,19.667,8.766999,0.6,44204.434,,28.08,18.4,3.4066305
2020-04-30 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.606583,19.317001,10.016999,1.5000002,44217.95,13.551501,34.2,18.38,3.4002662
2020-05-01 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.864918,19.967001,10.467,2.5,44231.35,,,15.25,2.8223276
2020-05-02 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.421166,20.017,9.467,0.0,44244.637,,40.68,18.23,3.3993962
2020-05-03 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.527416,18.767,8.667,,44257.78,16.79314,40.32,12.73,2.442948
2020-05-04 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.06075,20.217001,8.117,0.8000001,44270.777,,41.399998,20.52,3.7346733
2020-05-05 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.573251,20.567001,9.667,0.5,44283.62,17.84816,43.199997,19.13,
2020-05-06 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.321167,20.667,8.667,0.0,44296.285,19.353138,46.079998,20.13,3.7402883
2020-05-07 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.02325,18.767,10.617,,44308.76,18.11841,,13.66,2.5678363
2020-05-08 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.287831,16.767,10.117,1.7,44321.043,,46.079998,11.93,2.2625666
2020-05-09 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.852417,19.467001,9.766999,1.0,44333.105,23.363974,54.0,20.39,3.539364
2020-05-10 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.896167,20.617,8.917,,44344.945,15.315873,38.519997,19.9,3.5820425
2020-05-11 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.002415,20.967001,7.967,0.6,44356.543,10.538843,29.88,20.87,3.806102
